,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,"1,3","1,6","1,12","1,k","2,3","2,6","2,12","2,k","3,3","3,6","3,12","3,k","4,3","4,6","4,12","4,k"
20,20,20,20,20,20,20,20,20,20,20,20,20,(-0.09851865451635851-1.3426213145513355j),(0.9846689903192845-0.0009998500664256203j),(1.000004226814297-5.916671390113659e-06j),(1.000004226814297-5.916671390113659e-06j),(0.9473483978648025-0.3763651868467857j),(0.9992179627089416+0.0013910182066013536j),(0.9992179627089416+0.0013910182066013536j),(0.9992179627089416+0.0013910182066013536j),(1.0033168479682397-0.024104618538731224j),(0.9987529673691921+0.00033055605958188394j),(0.9987529673691921+0.00033055605958188394j),(0.9987529673691921+0.00033055605958188394j),(1.0010367577736463+2.091481341336414e-05j),(1.0010367577736463+2.091481341336414e-05j),(1.0010367577736463+2.091481341336414e-05j),(1.0010367577736463+2.091481341336414e-05j)
21,21,21,21,21,21,21,21,21,21,21,21,21,(-0.4415193063590598-1.1839306646435792j),(0.9686330285567295+0.002759055325101483j),(0.8875833623740531+0.07521620179899645j),(0.9507421176581143+0.06704849823485717j),(0.8855013990952763-0.4709896054839565j),(0.9998862485492451+0.0013558186674345629j),(0.9998862485492451+0.0013558186674345629j),(0.9998862485492451+0.0013558186674345629j),(0.9992176540394985-0.036683758492922075j),(0.9995220033759927+0.000342311110226202j),(0.9995220033759927+0.000342311110226202j),(0.9995220033759927+0.000342311110226202j),(1.000340214170549+0.000255096490581944j),(1.000340214170549+0.000255096490581944j),(1.000340214170549+0.000255096490581944j),(1.000340214170549+0.000255096490581944j)
22,22,22,22,22,22,22,22,22,22,22,22,22,(-0.7059770594403967-0.9321709630941113j),(0.34122370777060124-0.10121393595112847j),,,(0.7912794312679371-0.5468331471455952j),(1.0001865190145454+0.001035591143964197j),(1.0001865190145454+0.001035591143964197j),(1.0001865190145454+0.001035591143964197j),(0.9993273175055306-0.06880999437206832j),(0.9994087825012499+0.00026832310507299376j),(0.9994087825012499+0.00026832310507299376j),(0.9994087825012499+0.00026832310507299376j),(1.0000862567253455-3.552556034674937e-05j),(1.0000862567253455-3.552556034674937e-05j),(1.0000862567253455-3.552556034674937e-05j),(1.0000862567253455-3.552556034674937e-05j)
23,23,23,23,23,23,23,23,23,23,23,23,23,(-0.8660365204651124-0.6251205960731225j),,,,(0.6874094033669207-0.6237311383793726j),(1.0005716714966453+0.0007505087691632187j),(1.0005716714966453+0.0007505087691632187j),(1.0005716714966453+0.0007505087691632187j),(0.99102807297122-0.10965108262237515j),(0.9997391558490594+0.00043445416763328526j),(0.9997391558490594+0.00043445416763328526j),(0.9997391558490594+0.00043445416763328526j),(0.9996345098019426-9.833523888073565e-05j),(0.9996345098019426-9.833523888073565e-05j),(0.9996345098019426-9.833523888073565e-05j),(0.9996345098019426-9.833523888073565e-05j)
24,24,24,24,24,24,24,24,24,24,24,24,24,(-0.9141637635538755-0.30571821761917733j),,,,(0.5628673086592948-0.6684545527971804j),(1.0006345281545546+0.00041082904493241747j),(1.0006345281545546+0.00041082904493241747j),(1.0006345281545546+0.00041082904493241747j),(0.9708171920258809-0.14219966321958885j),(0.9997565788864985+0.00024739160883788724j),(0.9997565788864985+0.00024739160883788724j),(0.9997565788864985+0.00024739160883788724j),(0.9994489237960665+0.0001691872257066914j),(0.9994489237960665+0.0001691872257066914j),(0.9994489237960665+0.0001691872257066914j),(0.9994489237960665+0.0001691872257066914j)
25,25,25,25,25,25,25,25,25,25,25,25,25,(-0.8602466618444375-0.013753347127867561j),,,,(0.4327400228563833-0.7056213935367852j),(1.0006221646842055+0.0002625803379699038j),(1.0006483578297345+4.5447632304341265e-05j),(1.0006483578297345+4.5447632304341265e-05j),(0.9507581097140615-0.19700877349115445j),(0.9997727959994193+0.00046248123696551545j),(0.9997727959994193+0.00046248123696551545j),(0.9997727959994193+0.00046248123696551545j),(1.002376985890637-0.010189344296053322j),(1.0002447669480559+0.0004755077919926995j),(1.0002447669480559+0.0004755077919926995j),(1.0002447669480559+0.0004755077919926995j)
26,26,26,26,26,26,26,26,26,26,26,26,26,(-0.7274292323785199+0.22051504757399834j),,,,(0.29901172427960576-0.7056641881160746j),(1.000679624358037+0.00037268605505163773j),(1.0005092618358171-0.00016863244712024864j),(1.0005092618358171-0.00016863244712024864j),(0.9170160422661177-0.25825955377521104j),(1.0000470394326004+0.0002584335764652377j),(1.0000470394326004+0.0002584335764652377j),(1.0000470394326004+0.0002584335764652377j),(1.0011503724128248-0.026041828289261937j),(1.0005226332138155+0.0002338964117227794j),(1.0005226332138155+0.0002338964117227794j),(1.0005226332138155+0.0002338964117227794j)
27,27,27,27,27,27,27,27,27,27,27,27,27,(-0.544748308687985+0.37783174764687927j),,,,(0.16719563816162566-0.693779329110582j),(1.000976547010641+0.0015890265335064214j),(1.0002913667955493-0.0003241000846147034j),(1.0002913667955493-0.0003241000846147034j),(0.8712636469946246-0.30194218304763265j),(1.0000096134041765+0.00029212222798802594j),(1.0000096134041765+0.00029212222798802594j),(1.0000096134041765+0.00029212222798802594j),(0.9955354044542752-0.039647344573700054j),(1.00047523803292-1.9788280241630223e-05j),(1.00047523803292-1.9788280241630223e-05j),(1.00047523803292-1.9788280241630223e-05j)
28,28,28,28,28,28,28,28,28,28,28,28,28,,,,,(0.0482181900088858-0.6492999838242769j),(1.0026030680405873+0.002923084302176134j),(1.0001346486695104-0.0003333719203863049j),(1.0001346486695104-0.0003333719203863049j),(0.8192487617837949-0.3639779289701447j),(1.0002190324720979+0.0002857457859238179j),(1.0002190324720979+0.0002857457859238179j),(1.0002190324720979+0.0002857457859238179j),(0.9888868558109628-0.047739117371400755j),(1.0002780098456268-0.00015335516455773282j),(1.0002780098456268-0.00015335516455773282j),(1.0002780098456268-0.00015335516455773282j)
29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,(-0.0610618699077042-0.5939154982935858j),(1.0060901636507322+0.006613302460933876j),(0.9999687531652771-0.00028112295329697746j),(0.9999687531652771-0.00028112295329697746j),(0.7516711899589784-0.424347896030977j),(1.0001275462176602+5.7108554165433414e-05j),(1.0001275462176602+5.7108554165433414e-05j),(1.0001275462176602+5.7108554165433414e-05j),(0.9843926011779802-0.07984897245985415j),(1.000152410414171-0.00037498612555268116j),(1.000152410414171-0.00037498612555268116j),(1.000152410414171-0.00037498612555268116j)
30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,(-0.14657210932434522-0.5173810756875612j),(1.0129286373041664+0.008708360704487788j),(0.9999036951074823-0.00020869519883413612j),(0.9999036951074823-0.00020869519883413612j),(0.6787450375585308-0.4597711869242919j),(1.0001881938267616+8.269769671767651e-05j),(1.0001881938267616+8.269769671767651e-05j),(1.0001881938267616+8.269769671767651e-05j),(0.9701179527118664-0.12202777209454288j),(0.9999420810816038-0.00038369191177946104j),(0.9999420810816038-0.00038369191177946104j),(0.9999420810816038-0.00038369191177946104j)
31,31,31,31,31,31,31,31,31,31,31,31,31,,,,,(-0.21731061614975933-0.4352272047581883j),(1.0248773602381744+0.01372288670233877j),(0.9998638950393943-0.00010745177384457577j),(0.9998638950393943-0.00010745177384457577j),(0.5966200412545287-0.5040583702366758j),(1.0002221481455842-5.8608564579661015e-05j),(1.0002221481455842-5.8608564579661015e-05j),(1.0002221481455842-5.8608564579661015e-05j),(0.9472651594022059-0.15660795975697472j),(0.9998200704470036-0.00020985749456575449j),(0.9998200704470036-0.00020985749456575449j),(0.9998200704470036-0.00020985749456575449j)
32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,(-0.2609846746554431-0.3458210977496083j),(1.0417915931072133+0.012759726481274474j),(0.9998629979183055-4.639852956252615e-05j),(0.9998629979183055-4.639852956252615e-05j),(0.5041051771540043-0.5381573784999405j),(1.0000746807479124-2.5267984137568626e-05j),(1.0000746807479124-2.5267984137568626e-05j),(1.0000746807479124-2.5267984137568626e-05j),(0.9245827053324682-0.17689540979565843j),(0.9998182944516995-4.5606016223512575e-05j),(0.9998182944516995-4.5606016223512575e-05j),(0.9998182944516995-4.5606016223512575e-05j)
33,33,33,33,33,33,33,33,33,33,33,33,33,,,,,(-0.2890311491850261-0.25776736928509614j),(1.0681117300372138+0.013245520813241752j),(0.9998973107209221+1.8461961958453345e-05j),(0.9998973107209221+1.8461961958453345e-05j),(0.41734989474764594-0.5461723724528355j),(1.0001145097763124-8.465291134024773e-05j),(1.0001145097763124-8.465291134024773e-05j),(1.0001145097763124-8.465291134024773e-05j),(0.897130013842741-0.22627469687419063j),(0.9998029815820753-2.4154691495873416e-05j),(0.9998029815820753-2.4154691495873416e-05j),(0.9998029815820753-2.4154691495873416e-05j)
34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,(-0.2935877311189952-0.1745187863047387j),(1.09829150201995+0.0006313095932784458j),(0.9999231101588576+4.703148940451501e-05j),(0.9999231101588576+4.703148940451501e-05j),(0.3242948658941628-0.5545205733046668j),(1.0000335362979593-0.00013761956503061207j),(1.0000335362979593-0.00013761956503061207j),(1.0000335362979593-0.00013761956503061207j),(0.8540836778689662-0.2840785483126711j),(0.9997967502957266+9.260093730913267e-05j),(0.9997967502957266+9.260093730913267e-05j),(0.9997967502957266+9.260093730913267e-05j)
35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,(-0.28555174366290875-0.09860156762528334j),(1.1415057359047218-0.014873232055140583j),(0.999972466558627+5.844014330728969e-05j),(0.999972466558627+5.844014330728969e-05j),(0.22981195624613016-0.5496375759695414j),(1.0000350670731353-5.740256285169779e-05j),(1.0000350670731353-5.740256285169779e-05j),(1.0000350670731353-5.740256285169779e-05j),(0.802938426066167-0.32717472701304173j),(0.9999343223916376+0.00014972022646682681j),(0.9999343223916376+0.00014972022646682681j),(0.9999343223916376+0.00014972022646682681j)
